date,setup_id,direction,session,entry_time,exit_time,hold_minutes,entry_price,stop_price,target_price,risk_points,exit_price,exit_type,pnl_points,pnl_usd,r_multiple,risk_reward,reasoning
2018-03-11,S-REV-201803111834,short,overnight,2018-03-11T18:34:00,2018-03-11T18:36:00,2.0,8511.86,8514.46,8354.83,2.59,8511.86,HARD_STOP,0.0,-3.1,0.0,60.53,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2018-03-11,S-REV-201803111919,short,overnight,2018-03-11T19:19:00,2018-03-11T19:30:00,11.0,8511.86,8515.05,8354.83,3.19,8511.86,HARD_STOP,0.0,-3.1,0.0,49.25,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2018-03-11,S-REV-201803111923,short,overnight,2018-03-11T19:23:00,2018-03-11T19:34:00,11.0,8512.16,8514.46,8354.83,2.3,8512.16,HARD_STOP,0.0,-3.1,0.0,68.49,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2018-03-11,S-REV-201803111928,short,overnight,2018-03-11T19:28:00,2018-03-11T19:30:00,2.0,8511.86,8514.46,8354.83,2.59,8511.86,HARD_STOP,0.0,-3.1,0.0,60.53,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2018-03-11,S-REV-201803112030,short,overnight,2018-03-11T20:30:00,2018-03-11T21:23:00,53.0,8520.18,8525.15,8354.83,4.97,8525.15,HARD_STOP,-4.97,-102.52,-1.0,33.26,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2018-03-11,S-REV-201803112038,short,overnight,2018-03-11T20:38:00,2018-03-11T20:45:00,7.0,8520.18,8522.48,8354.83,2.3,8522.48,HARD_STOP,-2.3,-49.04,-1.0,71.98,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2018-03-11,S-REV-201803112040,short,overnight,2018-03-11T20:40:00,2018-03-11T20:45:00,5.0,8520.18,8522.77,8354.83,2.59,8522.77,HARD_STOP,-2.59,-54.98,-1.0,63.74,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2018-03-11,S-REV-201803112046,short,overnight,2018-03-11T20:46:00,2018-03-11T21:02:00,16.0,8520.18,8523.67,8354.83,3.49,8520.18,HARD_STOP,0.0,-3.1,0.0,47.44,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2018-03-11,S-REV-201803112204,short,overnight,2018-03-11T22:04:00,2018-03-11T22:08:00,4.0,8520.18,8523.07,8354.83,2.89,8520.18,HARD_STOP,0.0,-3.1,0.0,57.19,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2018-03-11,S-REV-201803112221,short,overnight,2018-03-11T22:21:00,2018-03-11T22:23:00,2.0,8518.69,8521.59,8354.83,2.89,8518.69,HARD_STOP,0.0,-3.1,0.0,56.67,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
