session_date,session_name,side,entry_price,initial_stop,risk_points,r_multiple,applied_rr,applied_sl_default,regime_bucket,gamma_regime,exit_category,pnl_points,entry_time_utc,exit_bar_utc,hold_minutes
2025-02-12,NY,sell,21837,21845,8,1.375,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_SESSION_END,11,2025-02-12T19:49:00.000Z,2025-02-12T19:50:00.000Z,1
2025-02-13,ASIA,buy,22104,22096,8,0.53125,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_SESSION_END,4.25,2025-02-14T08:50:00.000Z,2025-02-14T08:51:00.000Z,1
2025-02-16,ASIA,buy,22222.5,22217.5,5,-0.35,2,5,NO_GAMMA|WIDTH_UNKNOWN,NO_GAMMA,CLOSED_SESSION_END,-1.75,2025-02-17T14:31:00.000Z,2025-02-17T14:32:00.000Z,1
2025-02-17,ASIA,buy,22235.75,22227.75,8,3,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,24,2025-02-18T01:15:00.000Z,2025-02-18T03:04:00.000Z,109
2025-02-17,NY,sell,22248,22256,8,-0.125,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_SESSION_END,-1,2025-02-17T16:15:00.000Z,2025-02-17T16:16:00.000Z,1
2025-02-18,ASIA,sell,22277.75,22285.75,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-02-19T01:25:00.000Z,2025-02-19T01:29:00.000Z,4
2025-02-19,ASIA,sell,22222.25,22230.25,8,0.78125,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_SESSION_END,6.25,2025-02-20T14:18:00.000Z,2025-02-20T14:19:00.000Z,1
2025-02-19,NY,sell,22227.25,22235.25,8,-0.21875,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_SESSION_END,-1.75,2025-02-19T16:41:00.000Z,2025-02-19T16:42:00.000Z,1
2025-02-20,ASIA,sell,22151.5,22159.5,8,3,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,24,2025-02-21T01:39:00.000Z,2025-02-21T04:43:00.000Z,184
2025-02-20,NY,sell,22202.25,22210.25,8,2,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,16,2025-02-20T14:33:00.000Z,2025-02-20T14:33:00.000Z,0
2025-02-23,ASIA,sell,21766.75,21771.75,5,-1,2,5,NO_GAMMA|WIDTH_UNKNOWN,NO_GAMMA,CLOSED_LOSS,-5,2025-02-24T02:12:00.000Z,2025-02-24T02:13:00.000Z,1
2025-02-24,ASIA,sell,21435.25,21443.25,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-02-25T01:30:00.000Z,2025-02-25T01:30:00.000Z,0
2025-02-24,NY,sell,21765.75,21773.75,8,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-02-24T14:32:00.000Z,2025-02-24T14:32:00.000Z,0
2025-02-25,ASIA,sell,21241.5,21249.5,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-02-26T02:47:00.000Z,2025-02-26T03:10:00.000Z,23
2025-02-26,NY,sell,21286,21294,8,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-02-26T14:52:00.000Z,2025-02-26T14:52:00.000Z,0
2025-02-27,ASIA,buy,20632,20624,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-02-28T01:28:00.000Z,2025-02-28T01:30:00.000Z,2
2025-02-27,NY,sell,21352.75,21360.75,8,2,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,16,2025-02-27T14:31:00.000Z,2025-02-27T14:31:00.000Z,0
2025-02-28,NY,sell,20618,20626,8,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-02-28T14:43:00.000Z,2025-02-28T14:43:00.000Z,0
2025-03-03,NY,sell,21067.5,21075.5,8,2,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,16,2025-03-03T14:31:00.000Z,2025-03-03T14:31:00.000Z,0
2025-03-05,ASIA,buy,20594,20586,8,3,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,24,2025-03-06T01:36:00.000Z,2025-03-06T01:55:00.000Z,19
2025-03-07,NY,sell,20121.5,20129.5,8,2,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,16,2025-03-07T14:35:00.000Z,2025-03-07T14:35:00.000Z,0
2025-03-11,ASIA,buy,19467.75,19459.75,8,3,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,24,2025-03-12T00:15:00.000Z,2025-03-12T00:23:00.000Z,8
2025-03-12,NY,buy,19574,19566,8,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-03-12T14:32:00.000Z,2025-03-12T14:32:00.000Z,0
2025-03-14,NY,buy,19479.75,19471.75,8,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-03-14T14:00:00.000Z,2025-03-14T14:00:00.000Z,0
2025-03-16,ASIA,sell,19585.25,19590.25,5,-1,2,5,NO_GAMMA|WIDTH_UNKNOWN,NO_GAMMA,CLOSED_LOSS,-5,2025-03-17T00:29:00.000Z,2025-03-17T00:30:00.000Z,1
2025-03-17,ASIA,sell,19815.5,19823.5,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-03-18T05:00:00.000Z,2025-03-18T05:00:00.000Z,0
2025-03-17,NY,buy,19674.25,19666.25,8,2,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,16,2025-03-17T14:55:00.000Z,2025-03-17T14:55:00.000Z,0
2025-03-18,ASIA,buy,19714,19706,8,-0.875,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_SESSION_END,-7,2025-03-19T07:06:00.000Z,2025-03-19T07:07:00.000Z,1
2025-03-19,ASIA,sell,20028.25,20036.25,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-03-20T00:21:00.000Z,2025-03-20T00:25:00.000Z,4
2025-03-19,NY,buy,19772.5,19764.5,8,2,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,16,2025-03-19T13:34:00.000Z,2025-03-19T13:34:00.000Z,0
2025-03-20,NY,sell,19852,19860,8,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-03-20T13:33:00.000Z,2025-03-20T13:33:00.000Z,0
2025-03-21,NY,sell,19805.5,19813.5,8,0.21875,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_SESSION_END,1.75,2025-03-21T15:00:00.000Z,2025-03-21T15:01:00.000Z,1
2025-03-23,ASIA,buy,20116.75,20111.75,5,-1,2,5,NO_GAMMA|WIDTH_UNKNOWN,NO_GAMMA,CLOSED_LOSS,-5,2025-03-24T00:36:00.000Z,2025-03-24T00:36:00.000Z,0
2025-03-24,ASIA,sell,20353.25,20361.25,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-03-25T00:18:00.000Z,2025-03-25T00:53:00.000Z,35
2025-03-24,NY,sell,20253.75,20262.75,9,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-9,2025-03-24T13:30:00.000Z,2025-03-24T13:31:00.000Z,1
2025-03-25,ASIA,buy,20518,20510,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-03-26T01:07:00.000Z,2025-03-26T01:32:00.000Z,25
2025-03-25,NY,sell,20413,20421,8,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-03-25T13:31:00.000Z,2025-03-25T13:32:00.000Z,1
2025-03-26,ASIA,buy,20059.75,20051.75,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-03-27T00:15:00.000Z,2025-03-27T00:19:00.000Z,4
2025-03-31,ASIA,buy,19347.5,19339.5,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-04-01T00:25:00.000Z,2025-04-01T00:31:00.000Z,6
2025-03-31,NY,sell,19172.75,19180.75,8,2,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,16,2025-03-31T13:31:00.000Z,2025-03-31T13:31:00.000Z,0
2025-04-20,ASIA,buy,18323,18318,5,2,2,5,NO_GAMMA|WIDTH_UNKNOWN,NO_GAMMA,CLOSED_WIN,10,2025-04-21T00:51:00.000Z,2025-04-21T00:51:00.000Z,0
2025-04-21,NY,buy,18103,18095,8,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-04-21T13:36:00.000Z,2025-04-21T13:36:00.000Z,0
2025-04-23,NY,buy,18868.75,18860.75,8,2,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,16,2025-04-23T15:32:00.000Z,2025-04-23T15:32:00.000Z,0
2025-04-24,ASIA,sell,19412.25,19420.25,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-04-25T00:20:00.000Z,2025-04-25T00:23:00.000Z,3
2025-04-27,ASIA,sell,19460.25,19465.25,5,-1,2,5,NO_GAMMA|WIDTH_UNKNOWN,NO_GAMMA,CLOSED_LOSS,-5,2025-04-28T06:17:00.000Z,2025-04-28T06:17:00.000Z,0
2025-04-28,ASIA,sell,19521,19529,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-04-29T00:37:00.000Z,2025-04-29T00:43:00.000Z,6
2025-04-30,ASIA,buy,19925.25,19917.25,8,-1,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-05-01T00:28:00.000Z,2025-05-01T00:31:00.000Z,3
2025-05-01,NY,sell,20014,20022,8,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2025-05-01T14:36:00.000Z,2025-05-01T14:36:00.000Z,0
2025-05-04,ASIA,buy,20082.75,20077.75,5,-1,2,5,NO_GAMMA|WIDTH_UNKNOWN,NO_GAMMA,CLOSED_LOSS,-5,2025-05-05T01:07:00.000Z,2025-05-05T01:07:00.000Z,0
